NASER,2250,61,Easy
NASER,1600,42,NIGHTMARE
NASER,260,6,NIGHTMARE
NASER,410,13,NIGHTMARE
SHIVA,120,4,NIGHTMARE
ARTI,270,7,Easy
SH,530,11,Easy
